Artist,Songs,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5
+44,1,pop punk,punk rock,alternative,alternative rock,rock
3 doors down,1,rock,alternative rock,alternative,hard rock,3 Doors Down
30 seconds to mars,2,alternative rock,rock,alternative,emo,indie
311,2,alternative,rock,alternative rock,reggae,ska
5 seconds of summer,1,pop rock,pop punk,rock,pop,australian
a day to remember,4,post-hardcore,hardcore,pop punk,screamo,emocore
a perfect circle,1,alternative rock,Progressive rock,rock,alternative,metal
acdc,41,hard rock,classic rock,rock n roll,rock,heavy metal
afi,12,punk,punk rock,rock,alternative,emo
aka george,1,indie,electronic,rock,british,pop
axty,1,metalcore,DJENT,electronic,alternative rock,brazil
accept,1,heavy metal,hard rock,metal,german,Power metal
adelitas way,5,alternative rock,hard rock,rock,post-grunge,modern rock
adema,1,Nu Metal,rock,alternative rock,metal,Nu-metal
aerosmith,11,rock,classic rock,hard rock,80s,70s
against me!,4,punk,folk punk,seen live,punk rock,rock
against the current,1,pop punk,rock,pop rock,alternative,pop
airbourne,19,hard rock,rock,seen live,australian,rock n roll
akado,2,industrial,visual kei,Nu Metal,alternative,Shizo-nu-metal
alestorm,1,folk metal,pirate metal,Power metal,true scottish pirate metal,Scottish
alffa,1,rock,british,UK,welsh,cymraeg
aliados,1,rock,brazil,pop rock,rock pop brasilian,alternative rock
alice cooper,1,hard rock,classic rock,rock,heavy metal,glam rock
alice in chains,14,Grunge,rock,alternative rock,hard rock,alternative
alien ant farm,3,rock,alternative rock,alternative,punk rock,punk
all american rejects,1,alternative rock,punk rock,pop rock,emo,american
all that remains,1,metalcore,Melodic Death Metal,metal,hardcore,seen live
all time low,3,pop punk,rock,Power pop,seen live,emo
all the postcards,1,punk,brazil,brazil,melodic hardcore,rio de janeiro
allison,2,pop punk,rock,spanish,pop,punk
alt-j,1,indie,electronic,seen live,british,alternative
alter bridge,12,rock,alternative rock,hard rock,post-grunge,alternative
amaranthe,5,Melodic Death Metal,Power metal,modern metal,Pop Metal,Female fronted metal
amatory,2,metalcore,alternative,Nu Metal,russian alternative,Nu-metal
american authors,2,indie,indie rock,rock,american,pop rock
american avenue,1,emo,punk rock,pop punk,melodic punk,
american hi-fi,1,rock,punk rock,pop punk,alternative,punk
amy shark,1,pop,seen live,female vocalist,australian,indie pop
amy winehouse,2,soul,jazz,female vocalist,british,singer-songwriter
anacondaz,1,Hip-Hop,underground hip-hop,russian,abstract hip-hop,rap
anarbor,1,pop punk,rock,indie,punk rock,indie pop
andrew w. k.,1,rock,party metal,alternative,Delete,hard rock
andrew watt,2,rock,alternative,american,watt,andrew watt
andy black,1,rock,alternative rock,alternative,indie,pop
andy grammer,1,pop,singer-songwriter,acoustic,seen live,american
angels & airwaves,1,alternative rock,rock,alternative,seen live,indie
angie,1,pop,electropop,dance,Neue Deutsche Welle,mexico
ankor,1,metal,Power metal,Spanish Metal,Progressive metal,metalcore
annisokay,1,post-hardcore,metalcore,german,rock,emo
anouk,1,rock,female vocalist,dutch,seen live,pop
anthrax,5,thrash metal,metal,heavy metal,speed metal,seen live
anti-flag,26,punk,punk rock,seen live,political,political punk
apocalyptica,2,symphonic metal,instrumental,metal,finnish,seen live
april wine,1,classic rock,hard rock,rock,canada,heavy metal
architects,3,metalcore,mathcore,hardcore,seen live,metal
arctic monkeys,26,indie rock,indie,british,rock,alternative
aretha franklin,1,soul,female vocalist,jazz,blues,rhythm and blues
armin van buuren,1,trance,electronic,progressive trance,vocal trance,dance
art of dying,1,alternative rock,hard rock,rock,alternative,canada
art of anarchy,2,hard rock,Grunge,rock,Post Grunge,alternative rock
as i may,1,metalcore,metal,modern metal,suomi metalli,mikkelicore
asking alexandria,7,post-hardcore,metalcore,screamo,electronic,hardcore
aston merrygold,1,pop,british,United Kingdom,British Male Vocalists,the masked singer
aterciopelados,1,Colombia,Rock en Espanol,latin,rock,female vocalist
atlantida project,2,cyberfolk,russian,female vocalist,folk,electronic
atreyu,4,metalcore,hardcore,metal,screamo,rock
audioslave,11,rock,alternative rock,hard rock,alternative,Grunge
audrey horne,1,hard rock,seen live,rock,alternative rock,alternative metal
aurthohin,1,bangla,bangladesh,innovatrs of bangla rock,hard rock,Bangla Metal
autoramas,1,Garage Rock,rock,brazil,alternative rock,seen live
avatar,7,Melodic Death Metal,seen live,death metal,swedish,metal
avenged sevenfold,31,metalcore,metal,hard rock,hardcore,rock
averse,1,progressive black metal,black metal,Progressive metal,atmospheric black metal,french
avril lavigne,9,pop,pop rock,rock,female vocalist,canada
awolnation,2,electronic,indie,alternative,indie rock,rock
bb king,1,blues,jazz,bb king,seen live,rock
bones uk,8,industrial rock,alternative rock,blues rock,rock,alternative
brvnks,1,indie pop,brazil,brazil,indie lo-fi,seen live
btrx,2,rock,alternative rock,Independent Rock,,
babamania,4,J-rock,japanese,rock,alternative rock,alternative punk
bad 4 good,1,hard rock,rock,melodic heavy metal,melodic rock,male vocalists
bad omens,3,metalcore,post-hardcore,alternative metal,alternative rock,american
bad religion,7,punk,punk rock,seen live,political,rock
bad wolves,1,groove metal,alternative metal,seen live,DJENT,metalcore
badflower,5,rock,alternative rock,seen live,emo,indie
baha men,1,reggae,pop,dancehall,rap,dance
baleia,1,brazil,seen live,jazz,alternative,experimental
barns courtney,2,seen live,singer-songwriter,alternative,folk,british
baroness,1,Sludge,Progressive metal,metal,post-rock,sludge metal
barrett strong,1,soul,motown,rhythm and blues,60s,rnb
beartooth,6,post-hardcore,metalcore,hardcore,seen live,metal
beast in black,1,Power metal,heavy metal,seen live,metal,finnish
beastie boys,15,Hip-Hop,rap,alternative,Hip-Hop,seen live
bee gees,1,Disco,pop,70s,classic rock,oldies
beginners,3,indie rock,rock,indie,Garage Rock,electronic
ben e king,1,soul,60s,All,yanfire,yan drive
benny goodman,1,jazz,swing,Big Band,clarinet,oldies
betzefer,1,metalcore,groove metal,thrash metal,seen live,metal
beware of darkness,4,indie rock,alternative,rock,blues rock,seen live
beyond the black,2,symphonic metal,Power metal,Female fronted metal,metal,seen live
beyond unbroken,1,alternative rock,post-hardcore,modern rock,metalcore,emo
big data,4,electronic,american,synthpop,seen live,indie
bikini kill,1,riot grrrl,punk,female vocalist,punk rock,indie
bill conti,1,Soundtrack,composer,instrumental,rocky,score
billie joe armstrong,1,punk,punk rock,rock,Great Lyricist,green day
billy idol,2,rock,80s,new wave,classic rock,punk
billy ocean,2,80s,pop,soul,Disco,rnb
billy talent,23,punk rock,seen live,rock,punk,alternative
bishop briggs,1,indie,british,pop,indie rock,alternative
biting elbows,1,alternative,indie rock,post-punk,alternative rock,russian
